file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
ISIC_0015719.jpg,color,NA,#E2AF8E,0.75,#BF8761,0.25,#D7BD96,CE,88.81
ISIC_0052212.jpg,color,NA,#912D2E,0.58,#B05152,0.42,#604134,CH,83.16
ISIC_0068279.jpg,bw,NA,#9B5A54,0.68,#5C2B26,0.32,#604134,BH,86.37
ISIC_0074268.jpg,bw,NA,#EFBDAE,0.55,#E4AD92,0.45,#D7BD96,BE,86.53
ISIC_0074311.jpg,bw,NA,#F9D4DF,0.69,#E7BDC6,0.31,#F3E7DB,BB,83.9
ISIC_0074542.jpg,bw,NA,#DEBEB8,0.63,#CFAB9E,0.37,#F3E7DB,BB,85.79
ISIC_0075663.jpg,bw,NA,#BFAB99,0.56,#A69082,0.44,#D7BD96,BE,88.21
ISIC_0075914.jpg,bw,NA,#FED6E0,0.65,#F6C9D2,0.35,#F3E7DB,BB,84.15
ISIC_0076262.jpg,bw,NA,#F4C6C9,0.57,#E4B2B0,0.43,#F3E7DB,BB,83.05
ISIC_0076545.jpg,bw,NA,#A78478,0.60,#A07665,0.40,#A07E56,BF,88.96
ISIC_0076742.jpg,bw,NA,#EBB5A8,0.67,#D89F8B,0.33,#D7BD96,BE,84.55
ISIC_0076995.jpg,color,NA,#B96767,0.55,#A34546,0.45,#825C43,CG,82.86
ISIC_0077472.jpg,bw,NA,#F5C1B8,0.64,#EAB2A7,0.36,#F3E7DB,BB,83.38
ISIC_0077735.jpg,bw,NA,#F3C6D0,1.00,#4C262B,0.00,#F3E7DB,BB,82.92
ISIC_0078703.jpg,bw,NA,#F8D5E3,0.67,#EBC4D1,0.33,#F6EDE4,BA,83.88
ISIC_0078712.jpg,bw,NA,#BFA59F,0.60,#A4897E,0.40,#A07E56,BF,84.38
ISIC_0079038.jpg,color,NA,#E2A882,0.66,#C28358,0.34,#D7BD96,CE,86.78
ISIC_0080512.jpg,bw,NA,#F0BAB4,0.70,#E0A59C,0.30,#F3E7DB,BB,81.86
ISIC_0080752.jpg,bw,NA,#EFCFCC,0.84,#EAC0A2,0.16,#F3E7DB,BB,88.81
ISIC_0080817.jpg,bw,NA,#96868C,0.93,#745957,0.07,#A07E56,BF,80.33
ISIC_0081956.jpg,bw,NA,#EAACB5,0.55,#DD999F,0.45,#F3E7DB,BB,76.99
ISIC_0082348.jpg,bw,NA,#EDBECB,0.77,#CE9A9F,0.23,#F3E7DB,BB,80.31
ISIC_0082543.jpg,bw,NA,#F7CAC9,0.70,#EBBCBB,0.30,#F3E7DB,BB,84.82
ISIC_0082934.jpg,bw,NA,#E6A9BF,0.53,#D48B8D,0.47,#F3E7DB,BB,74.53
ISIC_0083035.jpg,bw,NA,#ECC7D5,0.92,#8E5E50,0.08,#F3E7DB,BB,81.29
